WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,Exposure Category,WRI Category,Vulnerability Category,Susceptibility Category
4.612378078731318,5.539285714285715,6.672779922779924,4.086782803260348,7.528118527959217,6.886374133949191,5.5,5.5,5.5,5.5
4.571959862465793,8.210714285714287,3.8421814671814674,2.1449576474348726,4.111358929424885,3.9321016166281755,10.0,5.5,1.0,1.0
4.55175075433303,4.7285714285714295,8.091698841698843,5.576953811730862,8.451489565078859,8.629561200923785,3.25,5.5,7.75,7.75
4.511332538067505,6.146428571428572,5.610038610038611,3.4610835863832508,6.0728054803249965,5.8443418013856805,7.75,5.5,5.5,5.5
4.501227984001123,5.667857142857143,6.2311776061776065,2.9245644877736936,7.836386808985184,6.441570438799076,5.5,5.5,5.5,3.25
4.491123429934742,4.357142857142858,8.860521235521237,7.166373661499122,8.789867771228295,8.98013856812933,3.25,5.5,10.0,10.0
4.47596659883517,5.989285714285714,5.7345559845559855,3.5905385967716157,6.523020551218735,5.639260969976905,7.75,5.5,5.5,5.5
4.455757490702407,6.050000000000001,5.624517374517374,3.039635608118907,7.400509797674049,5.010161662817552,7.75,5.5,5.5,3.25
4.455757490702407,5.75,6.027027027027028,4.243567204730702,7.331687111677553,5.068360277136259,5.5,5.5,5.5,5.5
4.440600659602835,4.4035714285714285,8.594111969111971,6.615470672846412,8.983431575593436,8.557505773672055,3.25,5.5,10.0,7.75
4.425443828503264,5.714285714285715,6.01399613899614,4.506792392520378,6.22192129998407,5.84988452655889,5.5,5.5,5.5,5.5
4.3850256122377385,4.932142857142857,7.233108108108109,4.820361195461084,8.946152620678669,6.41662817551963,3.25,5.5,7.75,7.75
4.374921058171357,6.453571428571429,5.006274131274131,2.7030525811091577,6.306515851521427,4.61108545034642,7.75,5.5,3.25,3.25
4.369868781138166,6.317857142857143,5.136583011583012,2.705929359117788,6.428389357973554,4.866050808314088,7.75,5.5,3.25,3.25
4.339555118939023,4.950000000000001,7.095559845559846,6.762186351286559,7.254261589931495,5.784757505773671,3.25,5.5,7.75,7.75
4.289032348607115,6.017857142857144,5.337837837837839,3.3388205210164617,6.525888163135255,4.742725173210162,7.75,5.5,3.25,5.5
4.23850957827521,6.35,4.867277992277993,3.1748441745245324,5.264138919866177,4.7676674364896074,7.75,5.5,3.25,5.5
4.2031436390428745,5.3535714285714295,6.066119691119692,4.334185712002558,7.026286442568107,5.39122401847575,5.5,5.5,5.5,5.5
